tacticam_track_id,broadcast_track_id,cosine_similarity
16,8,0.9544
17,47,0.9581
18,12,0.9538
19,18,0.96
20,47,0.9689
21,16,0.9556
22,11,0.9603
34,11,0.9658
1,11,0.9597
2,12,0.9594
3,47,0.9601
4,13,0.97
5,47,0.9677
6,13,0.952
7,12,0.9697
8,19,0.9725
9,11,0.9666
10,18,0.9679
11,12,0.9598
12,13,0.9625
13,47,0.953
14,9,0.9606
15,13,0.9623
16,16,0.9612
17,47,0.9619
18,11,0.9584
19,11,0.965
20,47,0.9601
21,15,0.9632
22,19,0.9651
34,11,0.9689
1,15,0.9697
2,12,0.9623
3,16,0.9636
4,13,0.9559
5,12,0.9691
6,15,0.9512
7,12,0.971
8,12,0.967
9,16,0.9609
10,12,0.9579
11,47,0.9626
12,16,0.9674
13,11,0.9621
14,18,0.9631
15,15,0.9577
16,15,0.9647
17,47,0.9633
18,11,0.9621
19,11,0.97
20,11,0.9612
21,13,0.9592
22,11,0.9623
34,47,0.955
1,13,0.9746
2,18,0.96
3,13,0.9742
4,13,0.9612
5,9,0.9748
6,15,0.9571
7,12,0.9692
8,12,0.9692
9,15,0.9625
10,19,0.9712
11,18,0.9633
12,16,0.9658
13,11,0.9554
14,18,0.9634
15,13,0.9573
16,15,0.9628
17,8,0.9626
18,11,0.9656
19,11,0.9747
20,12,0.9687
21,16,0.9472
22,19,0.9538
34,11,0.9603
1,13,0.9663
2,11,0.9563
3,16,0.9754
4,13,0.9523
5,9,0.9729
6,15,0.9681
7,11,0.9642
8,19,0.9744
9,15,0.9659
10,19,0.9547
11,18,0.9641
12,13,0.9636
13,9,0.9571
14,18,0.9598
15,13,0.9524
16,15,0.9666
17,47,0.9674
18,12,0.9622
19,12,0.9674
20,12,0.9647
21,16,0.9573
22,19,0.9638
34,11,0.9539
1,16,0.9762
2,12,0.9587
3,16,0.974
4,31,0.9666
5,18,0.9716
6,47,0.9669
7,12,0.9716
8,19,0.9741
9,13,0.9722
10,19,0.9717
11,18,0.9567
12,16,0.973
13,47,0.9611
14,11,0.9653
15,16,0.9647
16,15,0.9657
17,47,0.9569
18,11,0.9604
19,11,0.9663
20,12,0.9652
21,15,0.9659
22,19,0.9692
34,11,0.9616
1,13,0.9671
2,12,0.9569
3,16,0.9735
4,13,0.9699
5,18,0.9713
6,15,0.9695
7,11,0.9641
8,19,0.9773
9,15,0.9664
10,19,0.9727
11,12,0.9604
12,16,0.9694
13,11,0.9518
14,9,0.9643
15,15,0.9622
16,16,0.9658
17,15,0.9621
18,11,0.9696
19,11,0.961
20,47,0.9679
21,13,0.9688
22,51,0.9677
34,11,0.9599
1,13,0.9652
2,12,0.9698
3,10,0.9713
4,13,0.9686
5,47,0.9689
6,16,0.964
7,11,0.962
8,12,0.9769
9,16,0.9696
10,18,0.9563
11,47,0.9647
12,16,0.9719
13,47,0.9541
14,47,0.9653
15,15,0.9679
16,15,0.9719
17,15,0.9589
18,47,0.9696
19,12,0.9638
20,12,0.9732
21,15,0.97
22,64,0.9705
34,11,0.9643
1,11,0.9653
2,9,0.9666
3,13,0.966
4,13,0.9637
5,11,0.9716
6,13,0.9607
7,18,0.9595
8,12,0.9747
9,15,0.9717
10,18,0.9649
11,47,0.9551
12,31,0.9709
13,9,0.9679
14,9,0.9665
15,13,0.9643
16,15,0.9738
17,15,0.9656
18,47,0.9687
19,11,0.967
20,12,0.968
21,15,0.9681
22,51,0.9605
34,11,0.9703
1,13,0.9736
2,11,0.9648
3,13,0.9674
4,13,0.9689
5,11,0.9683
6,15,0.9609
7,11,0.9605
8,12,0.9783
9,16,0.9677
10,12,0.9706
11,47,0.9648
12,16,0.9766
13,11,0.9576
14,9,0.9668
15,13,0.9549
16,15,0.9681
17,47,0.9722
18,11,0.971
19,11,0.9719
20,11,0.9669
21,13,0.9689
22,51,0.9668
34,16,0.9759
1,15,0.9696
2,12,0.9704
3,16,0.9741
4,13,0.9642
5,18,0.9656
6,13,0.959
7,12,0.9546
8,12,0.9699
9,10,0.9667
10,19,0.9652
11,12,0.9636
12,13,0.9731
13,16,0.9716
14,47,0.9679
15,11,0.9607
16,15,0.9696
17,13,0.9703
18,11,0.975
19,11,0.969
20,11,0.9703
21,15,0.972
22,17,0.9719
34,16,0.9754
1,13,0.9709
2,12,0.967
3,16,0.9687
4,13,0.9666
5,11,0.9674
6,15,0.9744
7,11,0.9631
8,12,0.9712
9,16,0.9779
10,19,0.9655
11,12,0.9682
12,11,0.9689
13,16,0.9642
14,9,0.9696
15,11,0.9581
16,15,0.9683
17,8,0.9727
18,11,0.9705
